Lat,Lon
30.4981,-88.3338
32.3277,-86.3319
32.404,-85.9569
31.4273,-85.6195
34.6976,-87.6354
33.3216,-87.0465
33.5623,-86.8315
31.1918,-85.4001
32.1946,-86.4203
33.593,-86.1592
33.5864,-86.1244
33.2809,-87.0896
33.1771,-87.4462
33.2104,-84.0562
33.594,-86.1222
34.1166,-86.8632
33.2797,-87.0978
32.4059,-85.9559
30.5594,-88.2052
34.0511,-86.8721
33.7915,-87.2428
33.9952,-86.0828
31.4203,-87.0079
33.9333,-86.1916
30.7422,-88.1106
33.5762,-86.4784
33.5294,-86.8519
32.1963,-86.4153
30.654,-87.7594
30.8729,-88.0469
33.1729,-87.4785
34.538,-86.9105
32.8453,-86.5919
34.3683,-86.8936
35.1573,-90.1382
35.2804,-93.0924
35.137,-90.4883
35.2187,-91.7156
35.8051,-90.6351
35.5404,-94.2354
33.3304,-91.2925
34.8148,-91.5665
34.1871,-93.0703
35.2835,-93.0893
34.7789,-92.1947
33.5135,-93.9486
35.1537,-90.1435
33.8121,-93.4274
34.7813,-92.1298
35.8848,-89.9182
35.1533,-90.1375
35.154,-90.1388
34.1938,-91.9201
35.1732,-92.7433
34.7814,-92.1273
35.5116,-93.8226
34.9866,-90.9049
36.1765,-94.1932
33.8288,-93.3952
34.6569,-92.4136
34.6083,-92.533
35.1902,-114.0709
31.3387,-110.9663
32.0842,-110.803
34.3273,-112.1173
34.699,-113.6102
33.4152,-111.9961
33.4582,-112.7823
32.2684,-109.8482
33.2795,-111.9623
36.8978,-113.9086
33.4944,-112.9378
33.6338,-113.7688
35.1762,-113.786
32.8118,-111.6691
32.7726,-111.6179
32.1257,-110.8737
33.6021,-114.5235
32.6735,-114.4449
35.22,-114.0069
33.4609,-112.2054
35.016,-110.6741
33.6614,-114.2364
33.4313,-112.5921
33.6572,-114.2416
34.9549,-110.3118
32.9446,-112.7333
34.7283,-114.3152
32.8119,-111.6719
31.4312,-110.9622
31.9627,-110.3447
35.2633,-112.1942
35.1995,-113.904
32.7381,-111.5494
33.457,-112.2736
32.6859,-114.5828
34.905,-110.2109
34.7238,-114.3153
33.4588,-112.2393
32.7318,-111.5498
35.2385,-111.8226
35.4012,-119.3967
39.9038,-122.1984
40.5048,-122.3354
38.1183,-121.3923
37.1061,-121.0142
33.8182,-116.4036
34.0649,-117.5593
34.9916,-117.5431
33.7174,-116.1718
35.6151,-119.6588
34.8535,-117.0897
37.387,-120.7387
34.0653,-117.5541
35.5318,-119.1876
34.8541,-117.0807
32.5692,-116.9526
34.8168,-118.8873
37.7556,-121.1416
38.1179,-121.3942
37.7561,-121.1443
38.617,-121.5384
39.9074,-122.1955
37.0569,-120.9689
34.8547,-117.0872
35.1256,-118.4082
33.7133,-116.1759
39.9058,-122.1947
35.6173,-119.6587
39.7501,-122.2079
33.903,-116.5465
34.4945,-118.6193
37.0195,-120.1332
37.0578,-121.0522
36.182,-119.3311
34.8571,-117.0925
34.9941,-118.9408
41.3992,-122.3761
34.9853,-118.9472
38.862,-121.9503
34.4091,-117.3986
36.6656,-121.6299
37.4661,-121.1645
37.8556,-121.2743
35.1273,-118.4154
32.9782,-115.5021
39.1681,-122.1444
36.1797,-119.334
33.1265,-115.524
39.0577,-104.8533
40.3047,-104.9838
39.2706,-103.7062
39.1123,-108.6476
40.3625,-104.9831
39.1142,-108.6462
39.2936,-102.2788
37.6534,-104.7938
40.2676,-103.6217
39.0918,-108.4521
39.7627,-104.7938
39.2754,-103.7098
39.7792,-105.1342
39.7907,-104.905
38.4885,-102.7844
38.0957,-102.6202
38.3424,-104.6234
40.0779,-104.6483
40.2668,-103.6394
39.7407,-104.4344
38.097,-102.6188
41.2969,-72.7601
41.5656,-72.9131
41.9181,-72.2621
41.2366,-73.0225
41.4424,-71.8
30.0021,-82.599
30.5172,-81.6322
33.2104,-84.0562
29.2658,-82.1889
30.4931,-84.4296
28.1553,-81.8003
30.4141,-81.573
30.7182,-85.1839
26.7135,-81.8149
30.7344,-86.3493
30.5163,-83.0591
28.2438,-81.6577
29.602,-82.0868
26.6662,-80.7163
26.8353,-81.132
27.4496,-80.3981
30.4931,-84.4296
29.3401,-81.1345
28.3263,-82.3218
28.01,-82.3038
29.7499,-81.3437
28.8742,-82.0901
30.0665,-81.4956
27.4456,-80.398
27.6381,-80.5116
28.1182,-81.6384
29.2683,-82.1979
28.8752,-82.0947
30.452,-82.9342
25.7602,-80.4807
30.2851,-81.9843
30.7494,-85.3822
25.9252,-80.2457
28.3753,-80.802
30.3715,-81.7641
27.414,-80.3978
29.0245,-82.1592
26.6554,-81.8021
29.4109,-82.2459
30.7255,-85.187
30.3767,-83.2982
29.8143,-82.1691
28.6695,-82.1367
25.8847,-80.3657
30.284,-81.9842
28.3589,-80.7924
27.5284,-82.512
27.4139,-80.4001
30.0656,-81.4939
29.2683,-82.1916
26.8937,-82.0092
28.8736,-82.0952
27.6991,-80.9015
28.01,-82.3003
33.208,-84.0583
34.2523,-83.463
30.6443,-83.1872
33.6913,-85.1902
34.3898,-83.2268
34.5589,-84.9359
34.7697,-85.5419
31.9603,-83.7466
33.7194,-85.0298
33.5521,-83.4744
33.5603,-83.4793
34.6556,-84.981
33.3211,-84.7778
34.9788,-85.4139
31.9246,-81.3327
31.1409,-81.5782
34.3475,-83.3223
33.208,-84.064
30.6412,-83.1905
34.5768,-84.9466
33.5473,-83.0774
33.7196,-85.0257
30.7548,-83.2729
31.4153,-83.503
30.7945,-81.6668
30.7612,-81.6495
33.7217,-84.9036
30.7602,-81.6557
33.2104,-84.0562
32.7175,-83.7326
33.7893,-84.4884
31.1381,-81.5716
31.5809,-84.0858
33.207,-84.0586
33.514,-82.5025
34.3497,-83.3209
34.6868,-85.0001
32.4961,-82.9815
32.0854,-83.7599
33.6854,-84.3122
34.1188,-84.7437
33.6825,-85.2636
31.9603,-81.3319
32.6128,-83.7446
34.2745,-84.8071
33.5242,-82.0334
31.4283,-83.5159
33.48,-82.1312
34.1197,-83.7617
34.272,-84.8077
32.1883,-81.1955
30.753,-83.2715
32.0723,-81.1996
32.4905,-82.9344
33.1591,-84.8715
31.1379,-81.5808
41.8912,-91.667
41.4992,-95.4516
41.6598,-93.5001
41.6103,-90.7517
40.9812,-91.5402
41.6146,-90.7822
43.1447,-93.3588
41.6027,-90.6257
42.4602,-92.2526
42.4703,-93.5727
41.2308,-95.8517
41.6302,-93.7808
42.512,-90.6563
41.2361,-95.8782
41.6982,-92.4458
41.5,-95.3342
41.6044,-90.6238
40.6903,-95.7929
41.6196,-90.7845
41.6144,-93.7767
41.6984,-92.359
42.4359,-96.3735
43.1226,-92.7348
42.3113,-93.5714
42.4629,-92.4035
41.6442,-91.15
41.68,-92.9985
42.4354,-96.3698
41.0406,-93.7948
42.0488,-90.6666
43.5658,-116.1956
43.1426,-115.663
42.5688,-113.7367
43.6619,-116.6539
