Trimble_MAPS_StreetAddress,Trimble_MAPS_City,Trimble_MAPS_State,Trimble_MAPS_PostalCode
9201 Grand Bay Wilmer Road South  (Route 11),Grand Bay,AL,36541
"980 West South Boulevard  (US-80, US-82, AL-6)",Montgomery,AL,36105
429 Main Street  (Route 138),Shorter,AL,36075
"US-231, AL-53",Ozark,AL,36360
"Joe Wheeler Highway  (Alternate US-72, AL-20, AL-157)",Tuscumbia,AL,35674
McAshan Drive,Mc Calla,AL,35111
224 Daniel Payne Drive,Birmingham,AL,35207
"2383 South Oates Street  (US-231 Business, US-431 Business, AL-1)",Dothan,AL,36301
900 Tyson Road  (Route 6),Hope Hull,AL,36043
Stemley Road  (Route 207),Lincoln,AL,35096
75140 AL-77,Lincoln,AL,35096
7419 Springdale Drive,Mc Calla,AL,35111
3360 Buttermilk Road  (Route 85),Cottondale,AL,35453
110 Short Road,Jackson,GA,30233
75760 AL-77,Lincoln,AL,35096
1696 AL-69,Cullman,AL,35055
AL-216,Mc Calla,AL,35111
Main Street  (Route 138),Shorter,AL,36075
Theodore Dawes Road  (Route 30),Theodore,AL,36582
AL-69,Hanceville,AL,35077
251 Carl Cannon Boulevard,Jasper,AL,35501
Journey Place,Gadsden,AL,35904
"US-84, AL-12",Evergreen,AL,36401
Steele Station Road,Steele,AL,35987
2600 West Interstate 65 Service Road North,Mobile,AL,36612
2625 Kelly Creek Road,Moody,AL,35004
958 21st Avenue West,Birmingham,AL,35204
1360 Tyson Road  (Route 6),Hope Hull,AL,36043
29447 Route 49,Loxley,AL,36551
"6109 US-43, AL-13",Satsuma,AL,36572
"4416 Skyland Boulevard East  (US-11, AL-7)",Tuscaloosa,AL,35405
3886 Garth Road,Decatur,AL,35603
373 Route 764  (Route 764),Clanton,AL,35046
East Pike Road  (Route 55),Falkville,AL,35622
Service Road,West Memphis,AR,72301
3147 East C Street,Russellville,AR,72802
AR-149,Heth,AR,72346
Eastline Road,Searcy,AR,72143
4770 East Parker Road,Jonesboro,AR,72404
8074 AR-282,Alma,AR,72921
"US-65, US-278, AR-144",Lake Village,AR,71653
"US-63, AR-11",De Valls Bluff,AR,72041
170 Valley Street  (AR-7),Arkadelphia,AR,71923
Bradley Cove Road,Russellville,AR,72802
155 Matt Road,North Little Rock,AR,72117
AR-108,Texarkana,AR,71854
3442 Service Loop,West Memphis,AR,72301
Nevada 30 Road  (Route 30),Prescott,AR,71857
11806 Maybelline Road,North Little Rock,AR,72117
3893 South Division Street  (US-61),Blytheville,AR,72315
Martin Luther King Jr Drive  (AR-38),West Memphis,AR,72301
3910 Service Loop,West Memphis,AR,72301
4846 US-65,Pine Bluff,AR,71601
1984 North Oak Street  (AR-95),Morrilton,AR,72110
Valentine Road,North Little Rock,AR,72117
5 Airport Road  (AR-96),Ozark,AR,72949
1047 North Main Street  (AR-261),Palestine,AR,72372
850 South 56th Street,Springdale,AR,72762
166 Ron Harrod  (AR-200),Prescott,AR,71857
12424 Otter Creek Road,Little Rock,AR,72210
8895 Alcoa Road,Benton,AR,72019
915 West Beale Street  (US-93),Kingman,AZ,86401
370 North Mariposa Road  (AZ-189),Nogales,AZ,85621
9255 South Rita Road,Tucson,AZ,85747
14814 Stagecoach Trail,Mayer,AZ,86333
18171 US-93,Wikieup,AZ,85360
3440 South 40th Street,Phoenix,AZ,85040
1448 North 339th Avenue,Tonopah,AZ,85354
1501 Fort Grant Road,Willcox,AZ,85643
1522 South Nelson Drive,Chandler,AZ,85226
4057 Fleet Street,Littlefield,AZ,86432
North 411th Avenue,Tonopah,AZ,85354
48286 Vicksburg Road,Salome,AZ,85348
"I-40, US-93",Kingman,AZ,86401
South Sunland Gin Road,Eloy,AZ,85131
3671 West Cowboy Trail,Eloy,AZ,85131
East Travel Plaza Way,Tucson,AZ,85756
14320 South Flying J Road,Ehrenberg,AZ,85334
10866 South Fortuna Road,Yuma,AZ,85367
3301 East Andy Devine Avenue  (AZ-66),Kingman,AZ,86401
6792 West Latham Street,Phoenix,AZ,85043
Truck Access Road,Winslow,AZ,86047
"I-10, US-60, US-95",Quartzsite,AZ,85346
1552 South Miller Road,Buckeye,AZ,85326
Acacia Road,Quartzsite,AZ,85346
4691 Main Street  (Business I-40),Winslow,AZ,86047
AZ-85,Gila Bend,AZ,85337
AZ-95,Lake Havasu City,AZ,86404
5240 South Sunland Gin Road,Eloy,AZ,85131
777 East Frontage Road,Rio Rico,AZ,85648
637 Whetstone Commerce Drive,Benson,AZ,85602
North Grand Canyon Boulevard,Williams,AZ,86046
6035 Minerva Lane,Kingman,AZ,86401
851 East Milligan Road,Eloy,AZ,85131
West Roosevelt Street,Avondale,AZ,85392
South Avenue 3 East,Yuma,AZ,85365
3747 Express Drive,Holbrook,AZ,86025
14875 AZ-95,Lake Havasu City,AZ,86404
Roosevelt Street,Tolleson,AZ,85353
1005 South Sunshine Boulevard,Eloy,AZ,85131
Brannigan Park Road,Williams,AZ,86046
27769 Lagoon Drive,Buttonwillow,CA,93206
3449 Old CA-99 West,Corning,CA,96021
Knighton Road,Redding,CA,96002
15184 North Thornton Road  (Route J8),Lodi,CA,95242
Westside Freeway  (I-5),Gustine,CA,95322
72227 Varner Road,Thousand Palms,CA,92276
10402 North Milliken Avenue,Ontario,CA,91761
5725 Barstow-Bakersfield Highway  (CA-58),Boron,CA,93516
Vista del Norte,Coachella,CA,92236
14823 Warren Street,Lost Hills,CA,93249
2940 Lenwood Road,Barstow,CA,92311
295 B Street,Livingston,CA,95334
4513 East Guasti Road,Ontario,CA,91761
Zachary Avenue,Bakersfield,CA,93308
2570 High Point Parkway,Barstow,CA,92311
1497 Piper Ranch Road,San Diego,CA,92154
42810 Frazier Mountain Park Road,Lebec,CA,93243
22204 North Jack Tone Road  (Route J5),Ripon,CA,95366
15285 North Thornton Road  (Route J8),Lodi,CA,95242
1534 West Santos Avenue,Ripon,CA,95366
3621 West El Camino Avenue,Sacramento,CA,95833
22560 South Avenue,Corning,CA,96021
"CA-33, CA-152",Los Banos,CA,93635
2801 Lenwood Road,Barstow,CA,92311
Monolith Street,Tehachapi,CA,93561
46155 Dillon Road,Coachella,CA,92236
2041 South Avenue,Corning,CA,96021
14641 Warren Street,Lost Hills,CA,93249
6442 Route 13,Orland,CA,95963
6545 Garnet Avenue,Palm Springs,CA,92262
27666 Fantastic Lane,Castaic,CA,91384
18528 Pistachio Drive,Madera,CA,93637
Gonzaga Road,Gustine,CA,95322
3018 South Blackstone Street,Tulare,CA,93274
High Desert Road,Barstow,CA,92311
Santa Elena Drive,Arvin,CA,93203
395 Vista Drive,Weed,CA,96094
5742 Dennis Mccarthy Drive,Lebec,CA,93243
4900 Road 99 West,Dunnigan,CA,95937
8701 US-395,Hesperia,CA,92344
Truck Terminal Access Road,Salinas,CA,93901
Park Center Drive,Patterson,CA,95363
400 East Roth Road,French Camp,CA,95231
1192 East Tehachapi Boulevard,Tehachapi,CA,93561
369 Main Street,Brawley,CA,92227
Margurite Street,Williams,CA,95987
3021 South Blackstone Street,Tulare,CA,93274
440 West Main Street  (Route S30),Calipatria,CA,92233
"I-25, US-85, US-87",Monument,CO,80132
3634 CO-56,Berthoud,CO,80513
9th Street,Limon,CO,80828
"2201 US-6, US-50",Grand Junction,CO,81505
Southeast Frontage Road  (I-25 Frontage North),Johnstown,CO,80534
734 22 Road,Grand Junction,CO,81505
South Lincoln Street  (US-385),Burlington,CO,80807
CO-69,Walsenburg,CO,81089
1067 Colorado Avenue  (CO-71),Brush,CO,80723
3238 F Road  (US-6),Clifton,CO,81520
16687 East 32nd Avenue,Aurora,CO,80011
2481 Williams Avenue,Limon,CO,80828
12151 West 44th Avenue,Wheat Ridge,CO,80033
Quebec Street,Commerce City,CO,80022
15214 US-287,Eads,CO,81036
"603 North Main Street  (US-50, US-287)",Lamar,CO,81052
6470 North Elizabeth Street,Pueblo,CO,81008
201 Main Street  (CO-52),Hudson,CO,80642
18369 Hospital Road,Brush,CO,80723
North Converse Road  (CO-79),Bennett,CO,80102
198 Lampton Road,Lamar,CO,81052
49 East Industrial Drive,Branford,CT,06405
Yankee Expressway  (I-84),Plantsville,CT,06479
Wilbur Cross Highway  (I-84),Willington,CT,06279
401 Old Gate Lane,Milford,CT,06460
587 Ct Hwy 184 Extended,North Stonington,CT,06359
"I-75, FL-93",Lake City,FL,32024
346 Pecan Park Road,Jacksonville,FL,32218
110 Short Road,Jackson,GA,30233
4016 FL-326,Ocala,FL,34482
"32670 Memorial Blue Star Highway  (US-90, FL-10)",Midway,FL,32343
Bay Lake Resort Road,Auburndale,FL,33823
3821 Zoo Parkway  (FL-105),Jacksonville,FL,32226
FL-71,Marianna,FL,32448
17308 Park 78 Drive,North Fort Myers,FL,33917
FL-285,Defuniak Springs,FL,32433
8059 FL-6,Jennings,FL,32053
Waverly Barn Road,Davenport,FL,33897
22200 Southeast 57th Avenue,Hawthorne,FL,32640
414 Northwest 1st Street,South Bay,FL,33493
"US-27, FL-25, FL-78",Moore Haven,FL,33471
100 North Kings Highway  (FL-713),Fort Pierce,FL,34945
"32670 Memorial Blue Star Highway  (US-90, FL-10)",Midway,FL,32343
253 Destination Daytona Lane,Ormond Beach,FL,32174
29865 FL-52,San Antonio,FL,33576
11555 East Sligh Avenue,Seffner,FL,33584
FL-206,Saint Augustine,FL,32086
8580 Northeast 8th Path,Wildwood,FL,34785
1650 Route 210,Saint Johns,FL,32259
200 South Kings Highway  (FL-713),Fort Pierce,FL,34945
90th Avenue,Vero Beach,FL,32966
Main Street,Haines City,FL,33844
7889 Northwest 47th Avenue,Ocala,FL,34482
540 FL-44,Wildwood,FL,34785
"US-129, FL-51",Jasper,FL,32052
Southwest 177th Avenue  (FL-997),Miami,FL,33194
"1048 US-301, FL-200",Jacksonville,FL,32234
"2510 US-231, FL-75",Cottondale,FL,32431
Northwest 167th Street,Opa Locka,FL,33054
Friday Road,Cocoa,FL,32926
Pritchard Road,Jacksonville,FL,32219
7122 Okeechobee Road  (FL-70),Fort Pierce,FL,34945
2020 Southwest 135th Street  (Route 484),Ocala,FL,34473
6130 Federal Court,Fort Myers,FL,33905
7267 Route 318,Reddick,FL,32686
Lee Road,Marianna,FL,32448
3378 Southeast Rogers Sink Road,Madison,FL,32340
"17276 US-301, FL-200",Waldo,FL,32694
1940 FL-48,Bushnell,FL,33513
12286 Northwest South River Drive,Miami,FL,33178
"1050 US-301, FL-200",Jacksonville,FL,32234
4293 King Street  (FL-520),Cocoa,FL,32926
5215 17th Street East,Ellenton,FL,34222
2837 South Kings Highway  (FL-713),Fort Pierce,FL,34945
1619 Route 210,Saint Johns,FL,32259
4255 FL-326,Ocala,FL,34482
5107 Taylor Road  (Route 765 A),Punta Gorda,FL,33950
541 FL-44,Wildwood,FL,34785
3037 FL-60,Okeechobee,FL,34972
Tampa Gateway Boulevard,Seffner,FL,33584
132 Truck Stop Way,Jackson,GA,30233
"30756 US-441, GA-15",Commerce,GA,30529
6889 Bellville Road,Lake Park,GA,31636
Murhy Campus Boulevard,Waco,GA,30182
"11156 GA-106, GA-145",Carnesville,GA,30521
"2111 US-41, GA-3",Calhoun,GA,30701
I-59,Rising Fawn,GA,30738
South Midway Road,Cordele,GA,31015
401 Billings Road,Temple,GA,30179
Pierce Dairy Road,Madison,GA,30650
"Eatonton Highway  (US-129, US-441, GA-24)",Madison,GA,30650
142 Carbondale Road Southwest,Dalton,GA,30721
"US-29 South, US-27 Alternate, GA-14",Newnan,GA,30263
I-24,Wildwood,GA,30757
195 Sommers Boulevard,Richmond Hill,GA,31324
224 Fancy Bluff Road West,Brunswick,GA,31523
Old Federal Road  (GA-51),Carnesville,GA,30521
1324 Bucksnort Road,Jackson,GA,30233
Campground Circle,Lake Park,GA,31636
Resaca Lafayette Road Northwest  (GA-136),Resaca,GA,30735
1136 Brooks Cemetery Road,Greensboro,GA,30642
15 Villa Rosa Road,Temple,GA,30179
Madison Highway  (GA-31),Valdosta,GA,31601
"US-41, GA-7",Tifton,GA,31794
Truss Plant Road,Kingsland,GA,31548
Haddock Road,Kingsland,GA,31548
615 Edge Road,Villa Rica,GA,30180
Scrubby Bluff Road,Kingsland,GA,31548
110 Short Road,Jackson,GA,30233
5211 Sardis Church Road,Macon,GA,31216
1040 Watts Road Northwest,Atlanta,GA,30318
"2766 Ocean Highway  (US-17, GA-25)",Brunswick,GA,31523
312 Cordele Road  (GA-300),Albany,GA,31705
132 Truck Stop Way,Jackson,GA,30233
2158 Washington Road  (GA-17),Thomson,GA,30824
50 J F Shirley Road  (Route 214),Carnesville,GA,30521
I-75,Dalton,GA,30720
3009 GA-257,Dublin,GA,31021
39 Victory Lane,Vienna,GA,31092
1847 Continental Way Southeast,Atlanta,GA,30316
150 Old Allatoona Road Southeast,Cartersville,GA,30121
882 GA-100,Waco,GA,30182
GA-144,Richmond Hill,GA,31324
203 Donna's Trail,Byron,GA,31008
62 Five Forks Road Northeast,Cartersville,GA,30121
2209 Riverwest Drive,Augusta,GA,30907
I-75,Tifton,GA,31794
455 Park West Drive,Grovetown,GA,30813
262 Chardonnay Terrace,Braselton,GA,30517
Cassville White Road Northwest,Cartersville,GA,30121
I-95,Port Wentworth,GA,31407
Carroll Drive,Valdosta,GA,31601
1504 Dean Forest Road  (GA-307),Savannah,GA,31408
420 Vaughn Lane,Dublin,GA,31021
1490 Bass Cross Road,Hogansville,GA,30230
301 Dungeness Drive,Brunswick,GA,31523
9152 Earhart Lane Southwest,Cedar Rapids,IA,52404
I-80,Shelby,IA,51570
3231 Adventureland Drive,Altoona,IA,50009
"I-80, US-6",Walcott,IA,52773
1289 North Grand Avenue,Mount Pleasant,IA,52641
60th Avenue  (Route Y40),Walcott,IA,52773
2390 7th Avenue North,Clear Lake,IA,50428
3627 West 83rd Street,Davenport,IA,52806
890 Doris Drive,Evansdale,IA,50707
3040 220th Street  (Route D25),Williams,IA,50271
3052 South Exwy Street  (IA-192),Council Bluffs,IA,51501
Douglas Avenue,Urbandale,IA,50323
1237 16th St Exd,Dubuque,IA,52001
2608 South 24th Street,Council Bluffs,IA,51501
4128 V18 Road  (V Route 18),Brooklyn,IA,52211
7005 North Chestnut Street,Avoca,IA,51521
West 83rd Street,Davenport,IA,52806
IA-2,Percival,IA,51648
21556 60th Avenue  (Route Y40),Walcott,IA,52773
"I-35, I-80",Clive,IA,50325
4126 220th Street  (IA-21),Brooklyn,IA,52211
"2845 Industrial Road  (Business US-75, IA-376)",Sioux City,IA,51106
101 Monroe Street  (US-218),Floyd,IA,50435
330th Street  (IA-175),Ellsworth,IA,50075
4955 Greyhound Drive,Waterloo,IA,50701
2086 Atalissa Road,Atalissa,IA,52720
4401 South Avenue 22nd East,Newton,IA,50208
Singing Hills Boulevard,Sioux City,IA,51106
2010 Clay Street  (H Route 33),Osceola,IA,50213
Nairn Drive,Maquoketa,IA,52060
"I-84, US-30",Boise,ID,83705
1261 Sun Valley Highway  (US-20),Mountain Home,ID,83647
South Highway  (US-30),Heyburn,ID,83336
Aviation Way,Caldwell,ID,83605
Crossroads Parkway,Jerome,ID,83338
Oasis Rest Area,McCammon,ID,83250
4208 West Expo Parkway,Post Falls,ID,83854
West Overland Drive,Idaho Falls,ID,83402
Andco Drive,Idaho Falls,ID,83402
3321 South Federal Way,Boise,ID,83705
3700 West 5th Avenue,Post Falls,ID,83854
4930 Dinius Road  (Route 11),Williamsville,IL,62693
"West Market Street  (US-150, IL-9)",Bloomington,IL,61705
"I-57, I-70",Effingham,IL,62401
Jane Addams Memorial Tollway  (I-90),Hampshire,IL,60140
104 East Laraway Road  (Route 74),Joliet,IL,60433
Richter School Road,New Baden,IL,62265
25505 Cleveland Avenue South,Monee,IL,60449
5506 East Rockton Road  (Route 9),Roscoe,IL,61073
Division Street  (IL-47),Morris,IL,60450
IL-203,East Saint Louis,IL,62201
State Street  (IL-140),Worden,IL,62097
8283 1760 Road North,Oakwood,IL,61858
1367 Henderson Road  (Route 9),Knoxville,IL,61448
North Haughton Highway  (IL-130),Greenup,IL,62428
6491 Pocket Road,East Saint Louis,IL,62207
"I-57, I-70",Effingham,IL,62401
337 North 30th Road,La Salle,IL,61301
1308 Chain of Rocks Road,Edwardsville,IL,62025
16049 Willowbrook Road,South Beloit,IL,61080
2611 Vernell Road,Marion,IL,62959
16201 Van Dam Road,South Holland,IL,60473
I-57,Mount Vernon,IL,62864
Tri-State Tollway  (I-94),Zion,IL,60099
341 Caroline Street,Bloomington,IL,61701
190 East North Avenue  (IL-64),Carol Stream,IL,60188
1869 West Fayette Avenue,Effingham,IL,62401
"South Main Street  (US-67 Business, IL-267)",Jacksonville,IL,62650
North Avenue  (Route 42),Ina,IL,62846
7515 South Harlem Avenue  (IL-43),Bridgeview,IL,60455
1240 South Dement Road,Rochelle,IL,61068
8475 Newtown Road  (Route 10),Oakwood,IL,61858
12594 South Kedzie Avenue,Alsip,IL,60803
West Walnut Street  (Route 23),Oglesby,IL,61348
24218 Lorenzo Road,Wilmington,IL,60481
Plaza Avenue,Alpha,IL,61413
810 West Edwardsville Road  (IL-162),Troy,IL,62294
US-24,Gilman,IL,60938
Ottawa Drive,Minooka,IL,60447
1742 IL-127,Greenville,IL,62246
3020 East 8th Road  (Route 43),Utica,IL,61373
"3407 South Schuyler Avenue  (US-45, US-52)",Kankakee,IL,60901
14676 East 1600th Avenue  (Route 1600 North),Effingham,IL,62401
1392 Hamilton Avenue,Monee,IL,60449
244 Heitmann Drive,Lincoln,IL,62656
13 East Northbrook Drive,Dwight,IL,60420
1050 Robert Kingery Highway North  (IL-83),Bensenville,IL,60106
205 North Davidson Avenue,Mount Vernon,IL,62864
IL-121,Decatur,IL,62526
810 West Edwardsville Road  (IL-162),Troy,IL,62294
503 South Steward Road  (Route 17),Rochelle,IL,61068
Jane Addams Memorial Tollway  (I-90),Hampshire,IL,60140
485 South East Street,Le Roy,IL,61752
23841 West Eames Street  (US-6),Channahon,IL,60410
4068 East Boyd Road,Decatur,IL,62521
Division Street  (IL-47),Morris,IL,60450
North Wells Bypass  (Route 19),Mount Vernon,IL,62864
6117 Fahlsing Road  (IN-101),Woodburn,IN,46797
6042 West 200 South  (IN-28),Tipton,IN,46072
4042 North Mechanicsburg Road,Middletown,IN,47356
2539 Burr Street,Gary,IN,46406
3155 US-20,Angola,IN,46703
"9827 US-41, US-150",Terre Haute,IN,47802
57081 Route 17,Goshen,IN,46528
East Tipton Street  (US-50),Seymour,IN,47274
Route 1250 South,Haubstadt,IN,47639
1726 West Thompson Road,Indianapolis,IN,46217
1401 Ripley Street  (IN-51),Lake Station,IN,46405
1853 Fairland Road,Shelbyville,IN,46176
255 West Cox Avenue,Lebanon,IN,46052
4073 East 181st Avenue  (IN-2),Hebron,IN,46341
6417 South County Road 125 West,New Castle,IN,47362
4914 North 350 East  (Route 350 East),Whiteland,IN,46184
"I-65, US-52",Whitestown,IN,46075
3037 Goshen Road  (IN-930),Fort Wayne,IN,46808
101 South 500 East  (Route 500 East),Marion,IN,46953
6255 North 00 South  (IN-18),Marion,IN,46952
5317 West 25th Avenue,Gary,IN,46406
"2093 Ripley Street  (US-6, IN-51)",Lake Station,IN,46405
US-20,Chesterton,IN,46304
IN-46,Terre Haute,IN,47803
4407 IN-32,Crawfordsville,IN,47933
20998 US-41,Haubstadt,IN,47639
"I-80, I-94, US-6",Gary,IN,46404
I-65,Whiteland,IN,46184
"I-74, I-465, US-36",Indianapolis,IN,46217
"4264 US-24, US-231",Remington,IN,47977
7690 IN-13,Pendleton,IN,46064
336 South Main Street  (MI-150),Rochester,MI,48307
4153 Indianapolis Road,Whitestown,IN,46075
IN-13,Pendleton,IN,46064
3047 Grant Street,Gary,IN,46408
IN-10,Demotte,IN,46310
"14001 US-35, IN-28",Gaston,IN,47342
3157 South Doyle Road,New Haven,IN,46774
Jeff Gordon Boulevard  (Route 275 East),Pittsboro,IN,46167
2924 Gary Drive,Plymouth,IN,46563
IN-39,Mooresville,IN,46158
16566 East Co Rd 1650 North ,Covington,IN,47932
7894 North Michigan Avenue  (Old US-421),Saint Paul,IN,47272
14141 Memphis Bluelick Road,Memphis,IN,47143
I-70,Mooresville,IN,46158
"2179 US-35, IN-38",Richmond,IN,47374
15215 West Commerce Road  (IN-67),Daleville,IN,47334
I-69,Fremont,IN,46737
8026 Indianapolis Boulevard  (US-41),Highland,IN,46322
West F.W. Marks Drive,Greenfield,IN,46140
"4154 US-24, US-231",Remington,IN,47977
5376 Brick Road  (US-31 Business),South Bend,IN,46628
4182 East 100 North  (Route 100 North),Valparaiso,IN,46383
5067 300 East,Whiteland,IN,46184
I-70,Brazil,IN,47834
7664 North Baker Road,Fremont,IN,46737
East Route 150 S,Greensburg,IN,47240
4378 IN-59,Brazil,IN,47834
221 Melton Road  (US-20),Chesterton,IN,46304
9200 South Traders Country Boulevard,Daleville,IN,47334
Route 1250 South  (Route 1250 South),Haubstadt,IN,47639
4096 East 181st Avenue  (IN-2),Hebron,IN,46341
IN-10,Demotte,IN,46310
10585 West 9A Road,Plymouth,IN,46563
"7021 South IN-66, IN-66",Leavenworth,IN,47137
I-94,Chesterton,IN,46304
Memphis Bluelick Road,Memphis,IN,47143
Caramel Boulevard,Abilene,KS,67410
Route 460,Oakley,KS,67748
2310 North 9th Street  (North Old KS-81),Salina,KS,67401
2515 East Trail Street,Dodge City,KS,67801
4610 Kansas Avenue  (KS-32),Kansas City,KS,66106
184 West Diamond Drive,Salina,KS,67401
1554 170th Road  (Route 17),Belleville,KS,66935
3401 North Blue Comet Drive,Chanute,KS,66720
East Wyatt Earp Boulevard,Dodge City,KS,67801
4215 US-50,Emporia,KS,66801
2200 North Ohio Street,Salina,KS,67401
2400 East Kansas Avenue  (US-56),McPherson,KS,67460
2754 US-75,Lebo,KS,66856
US-54,Liberal,KS,67901
445 East Leiter Avenue,Cunningham,KS,67035
Horton Avenue,Colby,KS,67701
1500 North Jones Avenue,Holcomb,KS,67851
Des Moines West,South Hutchinson,KS,67505
206 Jefferson Street,Ellis,KS,67637
1700 US-83,Scott City,KS,67871
East 27th Street,Ottawa,KS,66067
397 East Willow Street,Colby,KS,67701
Burlington Pike  (KY-18),Florence,KY,41042
3794 Colonel Road  (KY-2878),Richmond,KY,40475
101 Eastlawn Road  (KY-260),Hanson,KY,42413
"West Cumberland Gap Parkway  (US-25 E, KY-770)",Corbin,KY,40701
432 East Western Avenue  (KY-84),Sonora,KY,42776
Ball Park Road,Lebanon Junction,KY,40150
311 West Cumberland Gap Parkway  (US-25 E),Corbin,KY,40701
I-75,Walton,KY,41094
Best Pal Drive,Walton,KY,41094
Pennyrile Parkway  (I-69),Mortons Gap,KY,42440
Flying J Road,Catlettsburg,KY,41129
4225 Nashville Road  (US-31 W),Franklin,KY,42134
18750 Herndon Oak Grove Road  (KY-117),Oak Grove,KY,42262
1670 Waddy Road  (KY-395),Waddy,KY,40076
"13035 Walton Verona Road  (KY-14, KY-16)",Walton,KY,41094
Frogtown Connector Road  (KY-338 Frontage South),Walton,KY,41094
819 Buck Creek Road  (KY-1848),Simpsonville,KY,40067
410 Cherry Blossom Way  (KY-620),Georgetown,KY,40324
5359 Cairo Road  (KY-305),Paducah,KY,42001
2050 East Blue Lick Road,Shepherdsville,KY,40165
11655 Kentucky Dam Road  (US-62),Calvert City,KY,42029
Wilderness Road  (US-25 E),Middlesboro,KY,40965
801 Glendale Hodgenville Road  (KY-222),Glendale,KY,42740
Koa Lane,Franklin,KY,42134
Cherry Blossom Way  (KY-620),Georgetown,KY,40324
6823 South Dixie Highway  (US-31 W),Elizabethtown,KY,42701
8190 Pembroke Oak Grove Road  (KY-115),Oak Grove,KY,42262
I-71,Pendleton,KY,40055
1090 Cedar Grove Road  (KY-480),Shepherdsville,KY,40165
KY-92,Williamsburg,KY,40769
2940 Scottsville Road  (KY-100),Franklin,KY,42134
154 J W Dickson Drive,Oak Grove,KY,42262
Pendleton Road  (KY-153),Pendleton,KY,40055
I-64,Grayson,KY,41143
Wendell H Ford Parkway,Elizabethtown,KY,42701
315 Porter Road  (KY-32),Sadieville,KY,40370
1940 Waddy Road  (KY-395),Waddy,KY,40076
Loves Drive,Sanders,KY,41083
3042 Owingsville Road  (US-60),Mount Sterling,KY,40353
"KY-218, KY-335",Horse Cave,KY,42749
Rapides Station Road,Boyce,LA,71409
10454 US-80,Greenwood,LA,71033
LA-29,Bunkie,LA,71322
"Evangeline Throughway  (I-49, US-167)",Lafayette,LA,70501
Lowe-Grout Road  (LA-383),Iowa,LA,70647
I-10,Slidell,LA,70461
1556 Jasmine Road,Egan,LA,70531
West Bert Kouns Industrial Loop  (LA-526),Shreveport,LA,71129
Duo Drive,Hammond,LA,70403
"9404 US-79, US-80, LA-169",Greenwood,LA,71033
US-65,Tallulah,LA,71282
225 Seale Drive,Hammond,LA,70403
"South Julia Street  (US-425, LA-137)",Rayville,LA,71269
17635 US-190,Port Barre,LA,70577
801 Lobdell Highway  (LA-415),Port Allen,LA,70767
North Thomson Avenue  (LA-383),Iowa,LA,70647
I-10,Breaux Bridge,LA,70517
North Elm Street  (LA-157),Haughton,LA,71037
254 Range 12 Avenue,Denham Springs,LA,70726
US-51,La Place,LA,70068
101 Lexington Drive,Rayne,LA,70578
498 North Cedar Street  (US-65),Tallulah,LA,71282
6232 I-20 Service Road,West Monroe,LA,71292
10412 Airline Highway  (US-61),Saint Rose,LA,70087
West Street,Vinton,LA,70668
13501 Industrial Drive,Minden,LA,71055
I-20,Greenwood,LA,71033
Massachusetts Turnpike  (I-90),Chicopee,MA,01020
I-84,Sturbridge,MA,01566
34 Avocado Street,Springfield,MA,01104
John F Kennedy Memorial Highway  (I-95),Elkton,MD,21921
7061 Little Patuxent Parkway  (MD-175),Jessup,MD,20794
Baltimore Pike Northeast  (MD-144),Cumberland,MD,21502
Perrylawn Drive  (MD-275),Perryville,MD,21903
Lums Road,North East,MD,21901
416 South Newkirk Street,Baltimore,MD,21224
Crest Drive,Hagerstown,MD,21740
18245 Showalter Road,Hagerstown,MD,21742
Chestnut Ridge Road  (US-219),Grantsville,MD,21536
11581 Hopewell Road,Hagerstown,MD,21740
Elkton Road  (MD-279),Elkton,MD,21921
3 Ammo Park,Bangor,ME,04401
4397 Riverview Drive,Bridgeport,MI,48722
200 Baker Road,Dexter,MI,48130
1996 East Front Street,Monroe,MI,48161
5353 Interchange Drive,Holland,MI,49423
I-94,Sawyer,MI,49125
I-94,Sawyer,MI,49125
1609 Nadeau Road,Monroe,MI,48162
1860 East Napier Avenue,Benton Harbor,MI,49022
7801 West Grand River Avenue,Grand Ledge,MI,48837
3473 East Washington Road  (MI-81),Saginaw,MI,48601
853 Black River Drive,Holland,MI,49423
6500 Dixie Highway,Bridgeport,MI,48722
I-69,Capac,MI,48014
23545 Westwood Road,Trenton,MI,48183
15606 MI-60,Tekonsha,MI,49092
920 Nadeau Road,Monroe,MI,48162
193 Baker Road,Ann Arbor,MI,48103
15896 11 Mile Road,Battle Creek,MI,49014
18780 Partello Road  (I-94 Business),Marshall,MI,49068
15901 11 Mile Road,Battle Creek,MI,49014
800 Baker Road,Dexter,MI,48130
7205 South State Road  (MI-66),Ionia,MI,48846
1224 North Dixie Highway  (MI-50),Monroe,MI,48162
6180 US-223,Ottawa Lake,MI,49267
