Location ID,Name,Address,City,State,Zip Code,Latitude,Longitude,Pricing Provider,Network ID,Trimble_POI_Name,Contains,Trimble_StreetAddress,Trimble_City,Trimble_MAPS_State,Trimble_Zipcode
AL072     ,TA_MOBILE 054                 ,9201 GRAND BAY WILMER RD SOUTH,GRAND BAY      ,AL,36541,30.4981,-88.3338,COMDATA   ,TA                                      , @TA-Mobile #54, True,9201 Grand Bay Wilmer Road South  (Route 11),Grand Bay,AL,36541
AL085     ,TA_MONTGOMERY 111             ,980 WEST SOUTH BLVD           ,MONTGOMERY     ,AL,36105,32.3277,-86.3319,COMDATA   ,TA                                      , @TA-Montgomery #111, True,"980 West South Boulevard  (US-80, US-82, AL-6)",Montgomery,AL,36105
AL110     ,LOVES 577                     ,I-85 EXIT 22 @ MAIN ST        ,SHORTER        ,AL,36075,32.404,-85.9569,COMDATA   ,Loves                                   , @Love's #577, True,429 Main Street  (Route 138),Shorter,AL,36075
AL123     ,LOVES 566                     ,3771 S US HIGHWAY 231         ,OZARK          ,AL,36360,31.4273,-85.6195,COMDATA   ,Loves                                   , @Love's #566, True,"US-231, AL-53",Ozark,AL,36360
AL125     ,LOVES 580                     ,2048 HIGHWAY 20               ,TUSCUMBIA      ,AL,35674,34.6976,-87.6354,COMDATA   ,Loves                                   , @Love's #580, True,"Joe Wheeler Highway  (Alternate US-72, AL-20, AL-157)",Tuscumbia,AL,35674
AL223     ,FLYING J 601 Fire Restoration ,6098 MACASHAN DR              ,MCCALLA        ,AL,35111,33.3216,-87.0465,COMDATA   ,Pilot                                   , @Flying J #601, True,McAshan Drive,Mc Calla,AL,35111
AL225     ,FLYING J 602                  ,224 DANIEL PAYNE DRIVE        ,BIRMINGHAM     ,AL,35207,33.5623,-86.8315,COMDATA   ,Pilot                                   , @Flying J #602, True,224 Daniel Payne Drive,Birmingham,AL,35207
AL226     ,FLYING J 603                  ,2190 ROSS CLARK CIRCLE        ,DOTHAN         ,AL,36301,31.1918,-85.4001,COMDATA   ,Pilot                                   , @Flying J #603, True,"2383 South Oates Street  (US-231 Business, US-431 Business, AL-1)",Dothan,AL,36301
AL227     ,FLYING J 604                  ,900 TYSON ROAD                ,HOPE HULL      ,AL,36043,32.1946,-86.4203,COMDATA   ,Pilot                                   , @Flying J #604 , True,900 Tyson Road  (Route 6),Hope Hull,AL,36043
AL237     ,PILOT 497                     ,121 HONDA DR                  ,LINCOLN        ,AL,35096,33.593,-86.1592,COMDATA   ,Pilot                                   , @Pilot Travel Center #497, True,Stemley Road  (Route 207),Lincoln,AL,35096
AL260     ,TA_LINCOLN 260                ,75246 ALABAMA 77              ,LINCOLN        ,AL,35096,33.5864,-86.1244,COMDATA   ,TA                                      , @TA-Lincoln #260, True,75140 AL-77,Lincoln,AL,35096
AL283     ,PETRO_BUCKSVILLE 319          ,22526 HWY 215                 ,MC CALLA       ,AL,35111,33.2809,-87.0896,COMDATA   ,TA                                      , @Petro Fuel #319, True,7419 Springdale Drive,Mc Calla,AL,35111
AL333     ,TA_TUSCALOOSA 016             ,3501 BUTTERMILK ROAD          ,COTTONDALE     ,AL,35453,33.1771,-87.4462,COMDATA   ,TA                                      , @TA-Tuscaloosa #16, True,3360 Buttermilk Road  (Route 85),Cottondale,AL,35453
AL344     ,PILOT 4555                    ,3201 BUTTERMILK RD            ,COTTONDALE     ,AL,35453,33.2104,-84.0562,COMDATA   ,Pilot                                   , @Pilot Travel Center #4560, True,110 Short Road,Jackson,GA,30233
AL345     ,PILOT 1549                    ,75750 AL HWY 77               ,LINCOLN        ,AL,35096,33.594,-86.1222,COMDATA   ,Pilot                                   , NOT FOUND, False,75760 AL-77,Lincoln,AL,35096
AL349     ,PILOT 1550                    ,1600 COUNTY RD 437            ,GOOD HOPE      ,AL,35055,34.1166,-86.8632,COMDATA   ,Pilot                                   , @Pilot Travel Center #1550, True,1696 AL-69,Cullman,AL,35055
