Name,Disabled,Locked,Fuel Incentive,Location ID,Card IDs,Address,City,ST,Postal Code,EW Hwy,EW Exit,NS Hwy,NS Exit,Retail Price,Retail Date,Rack Price,Freight,State Tax,Fed Tax,Est Cost,Spread,OOR Range,OOR Fill,Min Pur,Min Pur Type,Stop Type,Swap Type,Rack ID,Latitude,Longitude,Trimble_POI_Name,Contain,Trimble_MAPS_StreetAddress,Trimble_MAPS_City,Trimble_MAPS_State,Trimble_MAPS_PostalCode,Heartland,TM,Delta Between Trimble MAPS POI and Heartland Coordinates
Love's #652                   ,      No,    No,0,529210,CL083                                                  ,100 Marguerite St             ,Williams       ,CA,95987,       ,    ,I0005  ,578,3.749,8/16/2019,2.2469,0.027,0.7026,0.244,3.2205,0.528,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,39.1651,122.1392, NOT FOUND, False,Margurite Street,Williams,CA,95987,"39.1651,-122.1392","34.247585,-77.942662",2445.71
Love's #749                   ,      No,    No,0,529545,CL087                                                  ,551 W Main St                 ,Calipatria     ,CA,92233,S0086  ,    ,       ,    ,3.689,8/16/2019,2.2915,0.0215,0.7279,0.244,3.2849,0.404,0,No  ,0,       ,Retail  ,         ,    ,33.0377,115.6271, NOT FOUND, False,"501 West Main Street  (CA-78, CA-86)",Westmorland,CA,92281,"33.0377,-115.6271","34.247706,-77.942677",2155.371
Pilot TC #154                 ,      No,    No,0,516076,CA223                                                  ,14808 Warren Street           ,Lost Hills     ,CA,93249,S0046  ,    ,I0005  ,278,3.959,8/16/2019,2.2418,0.0683,0.7166,0.244,3.2707,0.688,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,35.6147,119.6592, @Pilot Travel Center #154, True,14827 Warren Street,Lost Hills,CA,93249,"35.6147,-119.6592","33.593493,-86.121251",1901.946
Flying J #830                 ,      No,    No,0,232041,BC427                                                  ,1725 Alaska Ave               ,Dawson Creek   ,BC,V1G1P5,       ,    ,S0049  ,    ,3.7467,8/15/2019,2.1029,0.15,0.3475,0.1136,2.714,1.033,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,55.7655,120.2514, NOT FOUND, False,Alaska Avenue  (BC-2),Dawson Creek,BC,V1G 1P5,"55.7655,-120.2514","33.900151,-96.957688",1873.01
Flying J #555                 ,      No,    No,0,518209,PA440                                                  ,1460 Ridge Rd                 ,Milton         ,PA,17847,I0080  ,215,       ,    ,3.499,8/16/2019,1.9038,0.038,0.741,0.244,2.9268,0.572,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,40.9673,76.7846, NOT FOUND, False,2000 Ridge Road,Milton,PA,17847,"40.9673,-76.7846","38.790851,-112.076686",1863.317
Flying J #801                 ,      No,    No,0,232019,BC344                                                  ,4869 Continental Way          ,Prince George  ,BC,V2N5S5,       ,    ,S0097  ,    ,3.6331,8/16/2019,2.2534,0.0136,0.3481,0.1136,2.7287,0.904,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,53.8769,122.7354, NOT FOUND, False,Terminal Boulevard,Prince George,BC,,"53.8769,-122.7354","33.89993,-96.958332",1863.098
Pilot TC #1200                ,      No,    No,0,528570,AB201                                                  ,3806 Highway St               ,Valleyview     ,AB,T0H3N0,       ,    ,S0043  ,    ,3.7467,8/15/2019,2.1029,0.0923,0.1686,0.1136,2.4774,1.269,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,55.0516,117.2823, NOT FOUND, False,3804 Highway Street,Valleyview,AB,,"55.0516,-117.2823","32.641911,-96.779346",1838.661
Flying J #797                 ,      No,    No,0,232018,AB341                                                  ,Hwy-49 and Hwy-2              ,Rycroft        ,AB,T0H3A0,       ,    ,S0049  ,    ,3.4061,8/15/2019,2.1029,0.1633,0.1699,0.1136,2.5497,0.856,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,55.7584,118.7009, NOT FOUND, False,AB-2,Rycroft,AB,,"55.7584,-118.7009","33.899928,-96.958425",1830.215
Flying J #109                 ,      No,    No,0,518852,UT652                                                  ,350 North Vernal Avenue       ,Vernal         ,UT,84078,       ,    ,U0191  ,    ,3.499,8/16/2019,2.09,0.0965,0.3065,0.244,2.737,0.762,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,40.4609,109.5292, NOT FOUND, False,349 North Vernal Avenue  (US-191 Scenic),Vernal,UT,84078,"40.4609,-109.5292","28.374319,-80.801984",1825.286
Flying J #820                 ,      No,    No,0,232010,AB418                                                  ,9212 108 St                   ,Grande Prairie ,AB,T8V4C9,S0040  ,    ,       ,    ,3.4087,8/16/2019,2.0801,0.1034,0.1684,0.1136,2.4655,0.943,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,55.1629,118.8212, NOT FOUND, False,8936 108 Street  (AB-40),Grande Prairie,AB,T8V 4C8,"55.1629,-118.8212","33.900096,-96.957903",1803.947
Flying J #516                 ,      No,    No,0,516323,PA332                                                  ,167 Post House Rd             ,Breezewood     ,PA,15533,I0076  ,161,       ,    ,3.499,8/16/2019,1.8973,0.052,0.741,0.244,2.9343,0.565,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,39.9974,78.2381, @All American #516, True,Post House Road  (Route T503),Breezewood,PA,15533,"39.9974,-78.2381","38.790891,-112.076608",1796.654
Love's #012                   ,      No,    No,0,516709,516709,308 East 1st St               ,La Junta       ,CO,81050,U0050  ,    ,       ,    ,0,6/17/2019,1.9569,0.0203,0.2144,0.244,2.4356,0,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,37.9887,103.5393, NOT FOUND, False,299 East 1st Street  (US-50),La Junta,CO,81050,"37.9887,-103.5393","42.458553,-71.17316",1723.189
Flying J #819                 ,      No,    No,0,232011,AB417                                                  ,345 Sakitawaw Trl             ,Fort McMurray  ,AB,T9H5E7,       ,    ,S0063  ,    ,3.4058,8/15/2019,2.1029,0.1855,0.1703,0.1136,2.5723,0.834,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,56.6812,111.3511, NOT FOUND, False,280 Parent Way,Fort McMurray,AB,T9H 2R1,"56.6812,-111.3511","33.899989,-96.957912",1713.279
Flying J #549                 ,      No,    No,0,520422,NC122                                                  ,125 Plaza Ln                  ,Mount Airy     ,NC,27030,       ,    ,I0077  ,100,3.099,8/16/2019,1.8644,0.051,0.3645,0.244,2.5239,0.575,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,36.4865,80.7461, @Flying J US Dealer #549, True,133 Plaza Lane,Mount Airy,NC,27030,"36.4865,-80.7461","38.790857,-112.076674",1712.035
Flying J #798                 ,      No,    No,0,232068,BC341                                                  ,1295 Cliveden Ave             ,Delta          ,BC,V3M6M3,       ,    ,S0091  ,10,3.8603,8/16/2019,2.1958,0.0227,0.471,0.1136,2.8031,1.057,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,49.1696,122.9557, NOT FOUND, False,Cliveden Avenue,Delta,BC,V3M 6C7,"49.1696,-122.9557","33.900031,-96.95839",1693.316
Flying J #832                 ,      No,    No,0,232049,BC429                                                  ,24 Braid St                   ,New Westminster,BC,V3L3P3,       ,    ,S0001  ,    ,3.8603,8/15/2019,2.2128,0.0213,0.4717,0.1136,2.8194,1.041,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,49.2287,122.8767, NOT FOUND, False,17 Braid Street,Maillardville,BC,,"49.2287,-122.8767","33.900165,-96.957645",1692.189
Flying J #817                 ,      No,    No,0,232038,AB415                                                  ,294 Kelley Rd                 ,Hinton         ,AB,T7V1H2,S0016  ,    ,       ,    ,0,4/17/2019,2.4244,0.0748,0.2544,0.1134,2.867,0,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,53.405,117.5853, NOT FOUND, False,305 Kelley Road,Hinton,AB,T7V 1H2,"53.405,-117.5853","33.899979,-96.957957",1682.761
Flying J #824                 ,      No,    No,0,232015,AB422                                                  ,5329 Govenlock Mountain Rd    ,Whitecourt     ,AB,T7S1G6,       ,    ,S0043  ,    ,3.3774,8/16/2019,2.0801,0.071,0.1679,0.1136,2.4326,0.945,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,54.1369,115.6953, @Flying J Fuel Stop #824, True,Govenlock Road,Whitecourt,AB,,"54.1369,-115.6953","33.900116,-96.957813",1667.268
Flying J #827                 ,      No,    No,0,232021,BC424                                                  ,929 Coutts Way                ,Abbotsford     ,BC,V2S7M2,       ,    ,S0001  ,92,3.6899,8/16/2019,2.1958,0.0273,0.3462,0.1136,2.6829,1.007,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,49.0198,122.2665, @Flying J Cardlock #827, True,1013 Coutts Way,Abbotsford,BC,V2S 7M2,"49.0198,-122.2665","33.900032,-96.957729",1661.088
Flying J #818                 ,      No,    No,0,232072,AB416                                                  ,2520 2 Ave                    ,Edson          ,AB,T7E1N9,S0016  ,    ,       ,    ,3.4058,8/15/2019,2.1029,0.0602,0.1681,0.1136,2.4448,0.961,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,53.5821,116.4248, NOT FOUND, False,48 Street,Edson,AB,T7E 1C1,"53.5821,-116.4248","33.900086,-96.957947",1658.461
Flying J #799                 ,      No,    No,0,232022,BC342                                                  ,7970 Lickman Road             ,Chilliwack     ,BC,V2R3Z9,       ,    ,S0001  ,    ,3.6331,8/16/2019,2.1958,0.0335,0.3465,0.1136,2.6894,0.944,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,49.1443,122.0069, NOT FOUND, False,Lickman Road,Chilliwack,BC,,"49.1443,-122.0069","33.899929,-96.958378",1655.154
