Location ID,Name,Address,City,State,Zip Code,Latitude,Longitude,Place_Name,Is Found?,Trimble MAPS Street Address,Trimble MAPS City,Trimble MAPS State,Trimble MAPS Postal Code,Trimble MAPS Latitude,Trimble MAPS Longitude,Trimble MAPS Confidence Level,Trimble MAPS Geocoding Errors,Distance Between Original and Trimble MAPS,,Location_ID,Place_Name,Is_Found?,
AB004     ,PETRO CANADA                  ,1916 SPARROW DRIVE            ,NISKU          ,AB,T9E7  ,53.337,-113.5434, @Petro-Canada, True,,Nisku,AB,T9E 8L5,53.337231,-113.542491,1 - Exact,,0.2,,AB004     , NOT FOUND, False,
AB020     ,PETRO CANADA                  ,JCT HWY 2 & HWY 7             ,ALDERSYDE      ,AB,T0L1T ,50.6772,-113.8824, NOT FOUND, False,,Aldersyde,AB,,50.694697,-113.8924,1 - Exact,Multiple best matches,1.4,,AB020     , NOT FOUND, False,
AB042     ,EDMONTON W  HUSKY TC          ,26304 TOWNSHIP RD 531A        ,ACHESON        ,AB,T7X5  ,53.5631,-113.7656, @Edm West Husky Tc, True,,Acheson,AB,,53.562937,-113.766096,1 - Exact,Multiple best matches,0,,AB042     , NOT FOUND, False,
AB056     ,CLAIRMONT HUSKY TC            ,7201 99 ST                    ,CLAIRMONT      ,AB,T0H0  ,55.234,-118.7935, NOT FOUND, False,,Clairmont,AB,T8X 5A5,55.232522,-118.794146,1 - Exact,,0.2,,AB056     , NOT FOUND, False,
AB063     ,PETRO CANADA                  ,HWY 63 NORTH                  ,FORT MACKAY    ,AB,T0P1  ,57.1835,-111.6407, NOT FOUND, False,,Fort McKay,AB,,57.259513,-111.625754,3 - Uncertain,Input address does not contain a house or building number; Multiple best matches,15.5,,AB063     , NOT FOUND, False,
AB065     ,GRASSLAND HUSKY TRAVEL STOP   ,5004 50TH AVE                 ,GRASSLAND      ,AB,T0A1  ,54.8083,-112.7696, NOT FOUND, False,,,,,0,0,4 - Failed,No matches found,-1,,AB065     , NOT FOUND, False,
AB080     ,ESSORED DEER1                 ,8132 EDGAR INDUSTRIAL CLOSE   ,RED DEER       ,AB,T4P3  ,52.3162,-113.8363, NOT FOUND, False,,Red Deer,AB,T4P 3R4,52.315896,-113.837294,1 - Exact,,0,,AB080     , NOT FOUND, False,
AB088     ,NISKU HUSKY TS                ,201 8020 SPARROW DR           ,LEDUC          ,AB,T9E7  ,53.3031,-113.5435, @Nisku Husky Travel Centre, True,,Leduc,AB,T9E 7L1,53.279707,-113.546287,3 - Uncertain,Multiple best matches; Input street name differs slightly from match; Location along street is approximate,1.7,,AB088     , NOT FOUND, False,
AB106     ,PETRO CANADA                  ,JUNC.HWY 1& HWY 22 WEST       ,CALGARY        ,AB,T2P2G ,51.0878,-114.4741, @Petro-Canada, True,,,,,0,0,4 - Failed,No matches found,-1,,AB106     , NOT FOUND, False,
AB107     ,PETRO CANADA                  ,5215-61 AVENUE S.E.           ,CALGARY        ,AB,T2C3Y ,50.9985,-113.9606, @Petro-Canada, True,,Calgary,AB,T2C 4M9,50.998923,-113.959881,1 - Exact,,0.1,,AB107     , NOT FOUND, False,
