Trimble_MAPS_StreetAddress,Trimble_MAPS_City,Trimble_MAPS_State,Trimble_MAPS_PostalCode
Margurite Street,Williams,CA,95987
"501 West Main Street  (CA-78, CA-86)",Westmorland,CA,92281
14827 Warren Street,Lost Hills,CA,93249
Alaska Avenue  (BC-2),Dawson Creek,BC,V1G 1P5
2000 Ridge Road,Milton,PA,17847
Terminal Boulevard,Prince George,BC,
3804 Highway Street,Valleyview,AB,
AB-2,Rycroft,AB,
349 North Vernal Avenue  (US-191 Scenic),Vernal,UT,84078
8936 108 Street  (AB-40),Grande Prairie,AB,T8V 4C8
Post House Road  (Route T503),Breezewood,PA,15533
299 East 1st Street  (US-50),La Junta,CO,81050
280 Parent Way,Fort McMurray,AB,T9H 2R1
133 Plaza Lane,Mount Airy,NC,27030
Cliveden Avenue,Delta,BC,V3M 6C7
17 Braid Street,Maillardville,BC,
305 Kelley Road,Hinton,AB,T7V 1H2
Govenlock Road,Whitecourt,AB,
1013 Coutts Way,Abbotsford,BC,V2S 7M2
48 Street,Edson,AB,T7E 1C1
Lickman Road,Chilliwack,BC,
410 East Broadway Street  (US-62),Hollis,OK,73550
5520 Jubilee Avenue,Drayton Valley,AB,
5882 Oil Heritage Road,Wyoming,ON,N0N 1T0
25122 Township Road 504  (AB-625),Nisku,AB,
Harrison Avenue,Buena Vista,CO,81211
742 NH-3 A,BOW,NH,03304
1401 West Pasadena Freeway  (TX-225 Service West),Pasadena,TX,77506
2300 Canyon Road,Ellensburg,WA,98926
Johnstone Drive,Red Deer,AB,
273 Clarks Falls Road  (CT-216),North Stonington,CT,06359
Crowsnest Highway  (BC-3),Elko,BC,
6303 43 Street,Lloydminster,AB,T9V 2W9
85 East Lake Crescent Northeast,Airdrie,AB,T4A 2H6
"1221 10th Street  (US-56, KS-96, KS-156)",Great Bend,KS,67530
"Andrews Highway  (NM-176, NM-234)",Eunice,NM,88231
1411 Northwest Boulevard  (BC-3),Creston,BC,V0B 1G6
2828 El Centro Road,Sacramento,CA,95833
2216 East Hillsboro Street,Pasco,WA,99301
3789 South Geiger Boulevard,Spokane,WA,99224
357 East Roth Road,French Camp,CA,95231
6582 East Broadway Avenue,Spokane,WA,99212
Avenue 21  (AB-2),Midnapore,AB,
Lasalle Road  (US-2),Columbia Falls,MT,59912
2300 Sperry Avenue  (Route J17),Patterson,CA,95363
2360 Diamond Road  (MT-257),Superior,MT,59872
59986 La Grande-Baker Highway  (OR-203),La Grande,OR,97850
15 NJ-23,Montague,NJ,07827
"1236 Roosevelt Highway  (US-2, I-15 Business)",Shelby,MT,59474
"8799 US-93, MT-200",Missoula,MT,59808
18 Main Street,Stanhope,NJ,07874
"US-12, US-93",Lolo,MT,59847
1008 Highway Avenue Northeast,Redcliff,AB,T0J 2P0
2997 South Blackstone Street,Tulare,CA,93274
Trans-Canada Highway  (ON-11),Kapuskasing,ON,
Nafta Parkway,Brownsville,TX,78521
SK-11,Davidson,SK,
3928 Byrne Trail,Great Falls,MT,59404
203 Belle Hill Road,Elkton,MD,21921
1534 East 1500 South,Vernal,UT,84078
Suedberg Road  (PA-443),Pine Grove,PA,17963
503 Suedberg Road  (PA-443),Pine Grove,PA,17963
1231 Grizzly Trail,Butte,MT,59701
"365 South Main Street  (US-40, US-191)",Roosevelt,UT,84066
North Service Road,Parkdale Boulevard,SK,
US-287,Three Forks,MT,59752
